Name,Company,Compatible Platforms,App Store Links,Price,Genre,Description
WhatsApp Messenger,"Meta Platforms, Inc.","iOS, Android, MacOS, Windows, Web",https://www.whatsapp.com/download?lang=en,$0,,
Facebook,"Meta Platforms, Inc.","iOS, Android, Web",https://play.google.com/store/apps/details?id=com.facebook.katana&hl=en_US,$0,,
Instagram,"Meta Platforms, Inc.","iOS, Android, Web, iPadOS",https://play.google.com/store/apps/details?id=com.instagram.android&hl=en_US,$0,,
Tiktok,TikTok Pte. Ltd.,"iOS, Android, Web",https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically&hl=en_US,$0,,
Spotify,Spotify,"iOS, Android, MacOS, Windows, Web",https://play.google.com/store/apps/details?id=com.spotify.music&hl=en_US,$0,,
Gmail,Google,"iOS, Android, Web",https://play.google.com/store/apps/details?id=com.google.android.gm&hl=en_US,$0,,
Google Maps,Google,"iOS, Android, Web",https://play.google.com/store/apps/details?id=com.google.android.apps.maps&hl=en_US,$0,,
Youtube,Google,"iOS, Android, Web",https://play.google.com/store/apps/details?id=com.google.android.youtube&hl=en_US,$0,,
Procreate,Savage Interactive,"iOS, iPadOS",https://procreate.com/,$12.99,,
Things 3,Cultured Code,"iOS, iPadOS, MacOS",https://apps.apple.com/us/app/things-3/id904280696?mt=12,$0,,
Adobe Fresco,Adobe,"iOS, iPadOS, Windows",,$0,,
Qlone,EyeCue Vision Technologies Ltd,"iOS, iPadOS, MacOS, Windows, Web",,$0,,
OmniFocus,The Omni Group,"iOS, IPadOS, MacOs, Web",,$75,,